       1,         2,         3,         4,         5,         6,         7,         8,         9,        10,        11,        12,        13,        14,        15,        16,        17,        18,        19,        20,        21,        22,        23,        24,        25,        26,        27,        28,        29,        30,        31,        32,        33,        34,        35,        36,        37,        38,        39,        40,        41,        42,        43,        44,        45,        46,        47,        48,        49,        50
 106.800,    70.320,   -97.270,   402.500,   325.700,   612.800,  -274.500,   622.300,   518.400,        na,  -171.100,   383.300,   -25.150,   108.500,   102.200,  2951.000,   334.900,        na,   363.500,   993.400,  -129.700,    -8.309,    -0.227,   248.400,     0.000,   132.700,  2213.000,        na,        na,        na,        na,        na,   593.400,        na,        na,        na,        na,        na,        na,        na,   -71.180,        na,        na,  -209.700,        na,        na,   434.100,        na,        na,        na
 -32.690,    -1.996,    10.380,   -97.050,   261.600,   252.600,   417.900,        na,  -142.600,        na,   129.300,        na,   -94.490,        na,        na,        na,        na,        na,     0.283,        na,   113.000,    -9.639,        na,   -34.680,   132.900,     0.000,   533.200,   320.200,        na,        na,   139.800,   304.300,    10.170,   -27.700,        na,        na,    10.760,        na,  -223.100,        na,   248.400,        na,        na,        na,  -218.900,        na,        na,        na,        na,    -4.565
5541.000,        na,  1824.000,  -127.800,   561.600,        na,   360.700,        na,  -101.500,        na,        na,        na,        na,        na,        na,        na,   134.900,  2475.000,        na,        na,  1971.000,        na,        na,   514.600,  -123.100,   -85.120,     0.000,        na,        na,        na,        na,  2990.000,  -124.000,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na
 -52.650,    16.620,    21.500,    40.680,   609.800,   914.200,  1081.000,  1421.000,   303.700,        na,   243.800,        na,   112.400,        na,        na,        na,        na,        na,   335.700,        na,   -73.090,        na,   -26.060,   -60.710,        na,   277.800,        na,     0.000,        na,        na,        na,   292.700,        na,        na,        na,        na,   -47.370,        na,        na,        na,   469.800,        na,        na,        na,        na,        na,        na,        na,        na,        na
  -7.481,        na,    28.410,    19.560,   461.600,   448.600,        na,        na,   160.600,        na,        na,   201.500,    63.710,   106.700,        na,        na,        na,        na,   161.000,        na,   -27.940,        na,        na,        na,        na,        na,        na,        na,     0.000,        na,        na,        na,        na,        na,    31.660,        na,        na,        na,    78.920,        na,        na,        na,        na,  1004.000,        na,        na,        na,   -18.270,        na,        na
 -25.310,    82.640,   157.300,   128.800,   521.600,        na,    23.480,        na,   317.500,        na,  -146.300,        na,   -87.310,        na,        na,        na,        na,        na,        na,   570.600,        na,        na,    48.480,  -133.200,        na,        na,        na,        na,        na,     0.000,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,    43.370,        na,        na,        na,        na,        na,        na,        na,        na,        na
 139.900,        na,   221.400,   150.600,   267.600,   240.800,  -137.400,   838.400,   135.400,        na,   152.000,        na,     9.207,        na,        na,        na,   192.300,        na,   169.600,        na,        na,        na,        na,        na,        na,   481.300,        na,        na,        na,        na,     0.000,        na,        na,        na,  -417.200,        na,        na,        na,   302.200,        na,   347.800,        na,        na,  -262.000,        na,        na,  -353.500,        na,        na,        na
 128.000,        na,    58.680,    26.410,   501.300,   431.300,        na,        na,   138.000,   245.900,    21.920,        na,   476.600,        na,        na,        na,        na,        na,        na,   616.600,        na,   -40.820,    21.760,    48.490,        na,    64.280,  2448.000,   -27.450,        na,        na,        na,     0.000,        na,        na,        na,        na,        na,        na,        na,        na,    68.550,        na,        na,        na,        na,        na,        na,        na,        na,        na
 -31.520,   174.600,  -154.200,  1112.000,   524.900,   494.700,        na,        na,  -142.600,        na,    24.370,        na,   736.400,        na,        na,        na,        na,   -42.710,   136.900,  5256.000,  -262.300,  -174.500,        na,    77.550,  -185.300,   125.300,  4288.000,        na,        na,        na,        na,        na,     0.000,        na,    32.900,        na,        na,        na,        na,        na,  -195.100,        na,        na,        na,        na,        na,        na,        na,        na,        na
 -72.880,    41.380,        na,        na,    68.950,        na,        na,        na,   443.600,        na,        na,        na,        na,        na,        na,        na,        na,        na,   329.100,        na,        na,        na,        na,        na,        na,   174.400,        na,        na,        na,        na,        na,        na,        na,     0.000,        na,        na,  2073.000,        na,  -119.800,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na,        na
